CASO,R,G,B,CLASE
970,197,197,195,1
971,205,205,203,1
972,222,223,218,1
973,233,234,228,1
974,230,231,223,1
975,225,227,216,1
976,217,219,206,1
977,195,197,183,1
978,201,204,195,1
979,243,246,237,1
980,224,227,218,1
981,236,239,230,1
982,244,247,238,1
983,237,240,231,1
984,230,233,226,1
985,229,232,225,1
986,236,239,232,1
987,226,229,222,1
988,249,252,245,1
989,228,231,224,1
990,216,219,212,1
991,217,222,216,1
992,229,234,230,1
993,226,232,230,1
994,222,231,230,1
995,220,228,230,1
996,218,226,229,1
997,217,224,230,1
998,217,224,232,1
999,217,224,232,1
1000,214,223,232,1
1001,213,222,231,1
1002,212,221,230,1
1003,211,220,227,1
1004,210,221,227,1
1005,210,221,225,1
1006,210,221,225,1
1007,211,222,226,1
1008,211,220,227,1
1009,211,220,227,1
1010,211,220,227,1
1011,211,220,227,1
1012,211,220,227,1
1013,211,220,227,1
1014,211,220,225,1
1015,211,220,225,1
1016,213,223,225,1
1017,213,223,225,1
1018,214,224,225,1
1019,214,224,225,1
1020,215,225,226,1
1021,215,225,226,1
1022,216,226,227,1
1023,217,225,227,1
1024,220,225,229,1
1025,220,225,229,1
1026,220,223,228,1
1027,220,223,228,1
1028,222,223,228,1
1029,222,223,228,1
1030,224,223,229,1
1031,224,223,229,1
1032,226,225,231,1
1033,224,223,229,1
1034,224,225,230,1
1035,227,228,233,1
1036,225,228,233,1
1037,223,226,231,1
1038,222,227,231,1
1039,224,229,233,1
1040,224,227,232,1
1041,224,227,232,1
1042,224,227,232,1
1043,224,227,232,1
1044,224,227,232,1
1045,224,227,232,1
1046,224,227,232,1
1047,224,227,232,1
1048,224,227,232,1
1049,224,227,232,1
1050,224,227,232,1
1051,224,227,232,1
1052,224,227,232,1
1053,224,227,232,1
1054,224,227,232,1
1055,224,227,232,1
1056,224,227,234,1
1057,224,227,234,1
1058,224,227,234,1
1059,224,227,234,1
1060,224,227,234,1
1061,224,227,234,1
1062,224,227,234,1
1063,224,227,234,1
1064,223,226,233,1
1065,223,226,233,1
1066,223,226,233,1
1067,222,225,232,1
1068,222,225,232,1
1069,221,224,231,1
1070,221,224,231,1
1071,220,223,230,1
1072,218,222,231,1
1073,215,222,230,1
1074,215,222,230,1
1075,214,221,229,1
1076,214,221,229,1
1077,213,220,228,1
1078,213,220,228,1
1079,213,220,228,1
1080,213,220,228,1
1081,213,220,228,1
1082,212,219,227,1
1083,211,218,226,1
1084,211,218,226,1
1085,211,218,226,1
1086,211,218,226,1
1087,212,219,227,1
1088,212,219,229,1
1089,210,219,228,1
1090,210,219,228,1
1091,210,219,228,1
1092,210,219,228,1
1093,210,219,228,1
1094,210,219,228,1
1095,210,219,228,1
1096,209,218,227,1
1097,209,218,227,1
1098,209,218,227,1
1099,209,218,227,1
1100,209,218,227,1
1101,209,218,227,1
1102,209,218,227,1
1103,209,218,227,1
1104,211,218,228,1
1105,211,218,228,1
1106,211,218,228,1
1107,212,219,229,1
1108,212,219,229,1
1109,213,220,230,1
1110,213,220,230,1
1111,213,220,230,1
1112,211,218,228,1
1113,211,218,228,1
1114,211,218,228,1
1115,210,217,227,1
1116,210,217,227,1
1117,209,216,226,1
1118,209,216,226,1
1119,209,216,226,1
1120,206,215,224,1
1121,206,215,224,1
1122,206,215,224,1
1123,206,215,224,1
1124,206,215,224,1
1125,205,214,223,1
1126,205,214,223,1
1127,205,214,223,1
1128,205,214,223,1
1129,205,214,223,1
1130,205,214,223,1
1131,205,214,223,1
1132,205,214,223,1
1133,205,214,223,1
1134,205,214,223,1
1135,205,214,223,1
1136,205,213,224,1
1137,205,213,224,1
1138,204,212,223,1
1139,204,212,223,1
1140,203,211,222,1
1141,203,211,222,1
1142,203,211,222,1
1143,202,210,221,1
1144,203,211,222,1
1145,203,211,222,1
1146,203,211,222,1
1147,203,211,222,1
1148,204,212,223,1
1149,204,212,223,1
1150,204,212,223,1
1151,204,212,223,1
1152,202,212,224,1
1153,202,212,224,1
1154,201,211,223,1
1155,200,210,222,1
1156,199,209,221,1
1157,198,208,220,1
1158,197,207,219,1
1159,197,207,219,1
1160,195,205,217,1
1161,195,205,217,1
1162,194,204,216,1
1163,194,204,216,1
1164,193,203,215,1
1165,192,202,214,1
1166,191,201,213,1
1167,191,201,213,1
1168,188,200,214,1
1169,187,199,213,1
1170,185,197,211,1
1171,185,197,211,1
1172,186,198,212,1
1173,188,200,214,1
1174,190,202,216,1
1175,192,204,218,1
1176,195,207,221,1
1177,197,209,223,1
1178,200,212,226,1
1179,199,211,225,1
1180,197,209,223,1
1181,196,208,222,1
1182,198,210,224,1
1183,201,213,227,1
1184,197,211,224,1
1185,195,211,224,1
1186,196,210,223,1
1187,193,209,222,1
1188,194,208,221,1
1189,191,207,220,1
1190,193,207,220,1
1191,190,206,219,1
1192,192,206,219,1
1193,190,206,219,1
1194,192,206,219,1
1195,190,206,219,1
1196,192,206,219,1
1197,190,206,219,1
1198,192,206,219,1
1199,192,206,219,1
1200,196,208,222,1
1201,196,208,222,1
1202,196,208,222,1
1203,195,207,221,1
1204,195,207,221,1
1205,194,206,220,1
1206,193,207,220,1
1207,192,206,219,1
1208,190,204,217,1
1209,189,203,216,1
1210,186,202,215,1
1211,184,200,213,1
1212,182,198,211,1
1213,180,196,209,1
1214,178,194,207,1
1215,178,194,207,1
1216,175,193,205,1
1217,173,193,204,1
1218,171,190,205,1
1219,170,189,204,1
1220,169,188,205,1
1221,169,188,205,1
1222,170,188,210,1
1223,169,190,211,1
1224,171,192,213,1
1225,171,192,213,1
1226,170,191,212,1
1227,168,190,211,1
1228,166,189,207,1
1229,163,186,204,1
1230,160,183,199,1
1231,159,182,198,1
1232,159,180,199,1
1233,159,180,199,1
1234,159,180,199,1
1235,159,180,199,1
1236,159,180,199,1
1237,159,180,199,1
1238,159,180,201,1
1239,159,180,201,1
1240,157,178,199,1
1241,157,178,199,1
1242,157,177,201,1
1243,156,176,200,1
1244,156,176,200,1
1245,155,175,199,1
1246,155,175,199,1
1247,154,176,199,1
1248,150,174,198,1
1249,149,175,198,1
1250,150,176,199,1
1251,150,176,199,1
1252,151,177,200,1
1253,151,177,200,1
1254,153,177,201,1
1255,153,177,201,1
1256,156,178,202,1
1257,156,178,202,1
1258,156,178,202,1
1259,155,177,201,1
1260,9,9,9,1
1261,2,2,2,1
1262,11,11,11,1
1263,17,17,17,1
1264,1,1,1,1
1265,7,8,2,1
1266,12,13,7,1
1267,212,213,207,1
1268,16,16,16,1
1269,6,6,6,1
1270,1,1,3,1
1271,3,3,5,1
1272,1,1,3,1
1273,15,15,13,1
1274,5,5,3,1
1275,10,10,8,1
1276,4,4,2,1
1277,226,227,221,1
1278,221,222,214,1
1279,217,219,208,1
1280,221,223,210,1
1281,16,18,5,1
1282,204,208,194,1
1283,243,247,233,1
1284,226,230,216,1
1285,235,239,225,1
1286,249,253,239,1
1287,236,240,226,1
1288,216,220,206,1
1289,223,227,213,1
1290,234,238,224,1
1291,235,239,225,1
1292,228,232,218,1
1293,229,233,219,1
1294,205,209,195,1
1295,223,227,213,1
1296,241,247,237,1
1297,232,237,233,1
1298,229,235,235,1
1299,227,232,235,1
1300,224,229,232,1
1301,220,228,231,1
1302,218,225,231,1
1303,218,225,233,1
1304,218,225,233,1
1305,216,223,231,1
1306,216,223,231,1
1307,214,223,230,1
1308,213,222,227,1
1309,212,221,226,1
1310,212,222,224,1
1311,212,222,223,1
1312,212,222,224,1
1313,213,220,226,1
1314,213,220,226,1
1315,213,220,226,1
1316,213,220,226,1
1317,213,220,226,1
1318,213,220,226,1
1319,213,220,226,1
1320,213,220,226,1
1321,215,223,226,1
1322,215,223,226,1
1323,215,223,226,1
1324,216,224,227,1
1325,216,224,226,1
1326,217,225,227,1
1327,217,225,227,1
1328,217,225,227,1
1329,221,226,230,1
1330,221,226,230,1
1331,221,224,229,1
1332,221,224,229,1
1333,223,224,229,1
1334,223,224,229,1
1335,225,224,230,1
1336,225,224,230,1
1337,227,226,232,1
1338,225,224,230,1
1339,225,226,231,1
1340,228,229,234,1
1341,227,230,235,1
1342,224,227,232,1
1343,223,228,232,1
1344,226,231,235,1
1345,225,228,233,1
1346,225,228,233,1
1347,225,228,233,1
1348,225,228,233,1
1349,225,228,233,1
1350,225,228,233,1
1351,225,228,233,1
1352,225,228,233,1
1353,225,228,233,1
1354,225,228,233,1
1355,225,228,233,1
